City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,puerto deseado,-47.7503,-65.8938,9.13,41,29,10.26,AR,1698591723
342,ocean city,39.2776,-74.5746,19.45,77,99,2.68,US,1698591723
343,yorkton,51.2167,-102.4677,-8.09,93,100,4.12,CA,1698591665
344,general conesa,-40.1,-64.4333,17.7,15,100,11.29,AR,1698591724
345,roccella ionica,38.322,16.4009,23.23,58,2,2.96,IT,1698591724
346,sao jose da coroa grande,-8.8978,-35.1478,27.86,61,60,6.37,BR,1698591724
347,arkalyk,50.2486,66.9114,10.46,96,100,8.21,KZ,1698591724
348,wuchuan,21.4571,110.7659,22.87,92,97,3.8,CN,1698591725
349,saldanha,-33.0117,17.9442,28.03,40,0,6.74,ZA,1698591725
350,newman,37.3138,-121.0208,6.69,46,0,1.6,US,1698591725
351,paramonga,-10.6667,-77.8333,21.46,78,90,4.57,PE,1698591725
352,mundri,-6.9558,111.71,27.28,74,25,1.88,ID,1698591726
353,benghazi,32.1167,20.0667,24.53,62,4,6.1,LY,1698591726
354,luderitz,-26.6481,15.1594,25.55,33,6,11.29,NA,1698591726
355,wick,58.4333,-3.0833,9.03,81,100,11.32,GB,1698591726
356,omdurman,15.6445,32.4777,36.31,19,98,1.46,SD,1698591727
357,impfondo,1.6381,18.0667,30.52,59,91,1.13,CG,1698591727
358,diego de almagro,-26.3667,-70.05,21.43,31,1,4.07,CL,1698591727
359,vidyayevo,69.3191,32.8049,-7.49,92,100,1.22,RU,1698591727
360,betioky,-23.7167,44.3833,26.32,50,0,5.89,MG,1698591727
361,meraux,29.933,-89.9498,27.78,62,2,1.79,US,1698591728
